Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFY,EQ,3-Dec-18,667.45,673.15,679,665.95,672.45,670.35,670.58,8260890,5539597359,103845,6137214,74.29
INFY,EQ,4-Dec-18,670.35,672.55,688.25,671.3,683,685.25,682.83,7827923,5345133354,129170,4357939,55.67
INFY,EQ,5-Dec-18,685.25,683,683.65,672.5,682.05,681.4,678.97,5177288,3515206694,96257,3101033,59.9
INFY,EQ,6-Dec-18,681.4,676.1,685.45,664.55,669.7,668.5,672.12,8039771,5403659738,229269,3922722,48.79
INFY,EQ,7-Dec-18,668.5,672,685.75,665.6,681,682.8,679.07,5553948,3771508979,125999,3024829,54.46
INFY,EQ,10-Dec-18,682.8,669.9,683.8,665.2,670.3,669.2,671.47,5121196,3438717513,119910,3114377,60.81
INFY,EQ,11-Dec-18,669.2,669.2,681.9,660.6,673.25,674.5,672.27,7120933,4787161579,204697,3767399,52.91
INFY,EQ,12-Dec-18,674.5,677.1,680.65,670.6,678.1,678.5,675.12,6926183,4675985776,92411,3725735,53.79
INFY,EQ,13-Dec-18,678.5,682,700,680,695.35,697.75,690.27,7521474,5191853566,187302,4679887,62.22
INFY,EQ,14-Dec-18,697.75,697.45,713.7,694.4,706.15,706.05,705.93,9560576,6749101215,158039,4777005,49.97
INFY,EQ,17-Dec-18,706.05,711.85,711.85,692.75,692.75,694.4,697.79,4778465,3334376899,95026,2319758,48.55
INFY,EQ,18-Dec-18,694.4,686.5,686.5,674.55,677,676.6,679.65,8021298,5451686819,191277,4277069,53.32
INFY,EQ,19-Dec-18,676.6,671.55,671.55,661.1,664.6,664.85,665.07,8295459,5517046525,263253,4781304,57.64
INFY,EQ,20-Dec-18,664.85,660,671.55,656.4,666.9,667.05,664.34,11705260,7776239037,237519,6351199,54.26
INFY,EQ,21-Dec-18,667.05,659.5,659.5,643.45,646.55,646.2,651.1,12802132,8335493758,228130,6537301,51.06
INFY,EQ,24-Dec-18,646.2,657,658.8,647.6,648.5,649,652.59,8379825,5468562526,140084,3230709,38.55
INFY,EQ,26-Dec-18,649,647,647,637.35,643.9,644.05,641.76,6178552,3965160752,129003,3192480,51.67
INFY,EQ,27-Dec-18,644.05,652.75,663.25,649,656.35,656.8,658.16,15333902,10092126951,182988,7084546,46.2
INFY,EQ,28-Dec-18,656.8,663.35,663.5,653.3,656.1,656.95,658.29,4736598,3118076702,105527,2225579,46.99
INFY,EQ,31-Dec-18,656.95,660,662,655.8,659.6,658.95,659.27,3373319,2223919550,65442,1517551,44.99
INFY,EQ,1-Jan-19,658.95,660.95,666.3,654.15,665.95,665.05,660.66,2943390,1944579423,45422,1282161,43.56
INFY,EQ,2-Jan-19,665.05,666,674,662.05,668,669.05,669.97,7416655,4968962633,108094,3880800,52.33
INFY,EQ,3-Jan-19,669.05,672,677,663.1,668,669.15,669.66,6827249,4571929258,125781,3676359,53.85
INFY,EQ,4-Jan-19,669.15,671.75,673.9,651,660.25,661.05,660.17,7889310,5208304589,187590,3747741,47.5
INFY,EQ,7-Jan-19,661.05,665,673.6,661.5,671.7,671.7,667.51,8046340,5370973787,132736,4711672,58.56
INFY,EQ,8-Jan-19,671.7,674.95,677.45,668.55,670,670.05,672.86,8621545,5801122720,134369,5652959,65.57
INFY,EQ,9-Jan-19,670.05,686.2,689.8,664,675.6,676.1,678.41,18130292,12299738075,314702,8029281,44.29
INFY,EQ,10-Jan-19,676.1,681.6,682,672.55,680.8,679.7,677.63,9572493,6486610276,141449,6064060,63.35
INFY,EQ,11-Jan-19,679.7,680.2,685.5,672.5,684.35,683.5,679.18,12281903,8341603861,159694,6409592,52.19
